accident_id;timestamp;address
1309672;10/12/2012 12:52;48, RUE DU LOUVRE
1309673;06/03/2013 11:50;52, RUE DU LOUVRE
1309674;16/08/2013 13:58;8, QUAI DE LA MEGISSERIE
1309675;22/08/2013 18:25;12, QUAI DE LA MEGISSERI
1309676;10/01/2012 15:00;RUE MONTMARTRE
1309677;11/06/2012 14:35;RUE ETIENNE MARCEL
1309678;04/10/2012 00:01;1, PLACE DU CHATELET
1309679;20/11/2012 09:15;0, PLACE DU CHATELET
1309680;29/07/2013 10:15;9, BOULEVARD DE SEBASTOP
1309681;15/02/2013 20:27;23, BOULEVARD DE SEBASTO
1309682;07/06/2013 16:50;25, BOULEVARD DE SEBASTO
1309683;03/01/2013 17:10;0, RUE ETIENNE MARCEL
1309684;04/06/2013 00:01;59, BOULEVARD DE SEBASTO
1309685;22/04/2013 18:40;59, BOULEVARD DE SEBASTO
1309686;05/08/2013 02:15;65, BOULEVARD DE SEBASTO
1309687;28/12/2012 05:25;QUAI FRANCOIS MITTERRAND
1309688;06/03/2013 21:20;QUAI DU LOUVRE
1309689;12/09/2012 20:05;QUAI DU LOUVRE
1309690;27/03/2012 00:50;PLACE DU CARROUSEL
1309691;30/10/2012 13:05;PLACE DU CARROUSEL
1309692;05/01/2013 00:45;QUAI DES TUILERIES
1309693;29/08/2013 01:20;METRO TUILERIES
1309694;17/10/2013 09:10;QUAI DES TUILERIES
1309695;06/01/2012 21:00;VOIE GEORGES POMPIDOU
1309696;09/01/2013 05:40;VOIE GEORGES POMPIDOU
1309697;22/11/2012 10:00;QUAI DES TUILERIES
1309698;28/02/2013 17:25;SOUTERRAIN TUILERIES
1309699;15/10/2013 18:30;SOUTERRAIN DES TUILERIES
1309700;24/09/2013 11:20;194, RUE DE RIVOLI
1309701;23/11/2013 15:55;168, RUE DE RIVOLI
1309702;12/11/2012 08:00;QUAI DES TUILERIES
1309703;18/01/2013 17:40;QUAI DES TUILERIES
1309704;19/07/2012 14:00;54, RUE JEAN JACQUES ROU
1309705;31/07/2013 19:10;112, RUE SAINT HONORE
1309706;12/09/2013 09:50;11, RUE DE L ECHELLE
1309707;29/09/2013 04:50;22, AVENUE DE L OPERA
1309708;31/10/2013 21:25;26, AVENUE DE L OPERA
1309709;05/11/2013 23:10;RUE SAINT HONORE
1309710;23/08/2013 10:50;1, PLACE DU CARROUSEL
1309711;25/03/2013 20:30;SOUTERRAIN BOUCLE SAINT
1309712;22/11/2013 19:35;20, AVENUE VICTORIA
1309713;26/06/2012 09:00;SOUTERRAIN GRANDE BOUCLE
1309714;08/04/2013 23:30;SOUTERRAIN TRANSIT HALLE
1309715;10/09/2013 15:35;2, RUE DE LA PAIX
1309716;02/08/2012 16:10;RUE DE LA PAIX
1309717;15/03/2012 20:05;03, PLACE DE L OPERA
1309718;29/08/2013 16:35;0, PLACE DE L OPERA
1309719;09/10/2012 23:10;PLACE DE L OPERA
1309720;05/06/2013 16:45;04, PLACE DE L OPERA
1309721;06/12/2012 15:00;PLACE DE L OPERA
1309722;23/09/2012 16:25;53, BOULEVARD DES CAPUCI
1309723;02/11/2013 23:20;34, RUE DU QUATRE SEPTEM
1309724;18/09/2013 23:00;36, AVENUE DE L OPERA
1309725;12/12/2013 17:55;BOULEVARD DES ITALIENS
1309726;02/10/2013 11:45;RUE DE HANOVRE
1309727;30/08/2012 15:35;RUE DU QUATRE SEPTEMBRE
1309728;15/11/2012 19:00;66, RUE SAINTE ANNE
1309729;14/01/2013 15:10;RUE DES FILLES SAINT THO
1309730;09/01/2012 14:30;11, PLACE DE LA BOURSE
1309731;10/12/2012 01:58;15, BOULEVARD MONTMARTRE
1309732;02/11/2013 14:45;132, RUE REAUMUR
1309733;10/06/2012 01:10;PLACE DE LA BOURSE
1309734;17/12/2012 18:05;AVENUE KLEBER
1309735;27/03/2013 15:10;110, AVENUE KLEBER
1309736;01/09/2013 07:50;AVENUE DU PRESIDENT WILS
1309737;22/11/2012 10:10;AVENUE DU PRESIDENT WILS
1309738;19/06/2012 08:40;AVENUE DE NEW YORK
1309739;04/09/2013 18:00;VOIE GEORGES POMPIDOU
1309740;24/06/2012 23:45;27, AVENUE DE LA GRANDE
1309741;19/12/2012 15:20;50, AVENUE VICTOR HUGO
1309742;01/05/2013 23:37;AVENUE KLEBER
1309743;10/09/2013 15:00;7, AVENUE FOCH
1309744;21/03/2013 14:45;4-10, PLACE DE LA PORTE
1309745;18/09/2012 09:54;02, RUE GUSTAVE CHARPENT
1309746;06/05/2013 22:40;BPI MAILLOT TERNES
1309747;16/09/2012 00:01;1, BOULEVARD GOUVION SAI
1309748;16/02/2013 13:15;BOULEVARD GOUVION SAINT
1309749;09/07/2012 19:15;17, AVENUE DE LA PORTE D
1309750;31/01/2012 16:00;82, AVENUE DES TERNES
1309751;29/04/2013 14:50;2, RUE AUMONT THIEVILLE
1309752;11/02/2012 20:00;14, RUE DU CAPORAL PEUGE
1309753;07/03/2012 18:55;1, PORTE DE CHAMPERRET
1309754;18/09/2012 17:40;BOULEVARD DE L YSER
1309755;24/04/2012 16:20;16, AVENUE DE LA GRANDE
1309756;19/09/2013 16:55;16, AVENUE DE LA GRANDE
1309757;05/06/2013 13:10;143, AVENUE DE VILLIERS
1309758;30/05/2013 07:55;3, RUE FARADAY
1309759;06/08/2012 21:55;AVENUE STEPHANE MALLARME
1309760;18/03/2013 19:15;/, PLACE CHARLES DE GAUL
1309761;31/01/2013 09:05;18, AVENUE MAC MAHON
1309762;09/10/2012 19:00;168, BOULEVARD BERTHIER
1309763;19/10/2012 09:55;AVENUE NIEL
1309764;18/02/2012 12:40;191, RUE DE COURCELLES
1309765;12/09/2012 00:54;230, RUE DE COURCELLES
1309766;14/09/2013 05:30;223, RUE DE COURCELLES
1309767;01/03/2013 11:05;138, BOULEVARD PEREIRE
1309768;24/06/2013 09:50;07, AVENUE DE WAGRAM
1309769;11/12/2012 16:45;22, AVENUE DE WAGRAM
1309770;11/01/2012 12:50;01, PLACE DU MARECHAL JU
1309771;21/06/2012 18:25;1, PLACE PAUL LEAUTAUD
1309772;25/05/2013 03:50;BOULEVARD BERTHIER
1309773;21/11/2013 19:45;1, AVENUE DES TERNES
1309774;28/05/2012 18:30;158, RUE DE COURCELLES
1309775;14/12/2012 14:20;62, AVENUE DE WAGRAM
1309776;16/04/2013 17:45;75 TER, AVENUE DE WAGRAM
1309777;17/10/2012 18:45;33, BOULEVARD BERTHIER
1309778;10/05/2012 13:35;AVENUE DE WAGRAM
1309779;15/06/2013 04:15;78, AVENUE DE WAGRAM
1309780;20/03/2012 09:45;80, AVENUE DE WAGRAM
1309781;07/10/2012 09:00;AVENUE DE LA PORTE D ASN
1309782;13/07/2012 00:55;AVENUE DE LA PORTE D ASN
1309783;01/09/2013 21:50;AVENUE DE LA PORTE D ASN
1309784;09/10/2012 10:00;92, AVENUE DE VILLIERS
1309785;16/02/2013 10:10;34, AVENUE DE LA PORTE D
